address,city,lat,long,menuURL,name,priceRange,province,websites,phones
2871 Gulf To Bay Blvd,Clearwater,27.971165,-82.696938,,Village Inn Restaurant and Bakery,,FL,,7277964988
605 W Main St,Louisville,38.25702035,-85.76001328,,Atlantic No. 5,USD 25.00-40.00,KY,atlanticno5.com,5028833398
3803 9th St S W,Puyallup,47.154828,-122.303992,,Famous Dave's,USD 10.00 - USD 15.00,WA,http://famousdaves.com,2536040340
30 S Main St,Oberlin,41.29082277,-82.21764028,/oberlin-oh/mip/the-feve-8940755/menu,The Feve,USD 25.00-40.00,OH,http://www.thefeve.com,"[""4407741978"",""4197741978"",""4407753064""]"
55 Crescent Dr,Pleasant Hill,37.94566339,-122.0619969,/pleasant-hill-ca/mip/yalla-mediterranean-506165688/menu,Quiznos,$,CA,http://www.yallamedi.com/,9258258644
2243 Richmond Ave,Houston,29.7336,-95.4146,/houston-tx/mip/hobbit-cafe-22358589/menu,Hobbit Cafe,USD 25.00-40.00,TX,http://www.myhobbitcafe.com/,"[""7135265460""]"
8007 State Rt 31,Bridgeport,NA,NA,,Familia Pizza,,NY,http://www.myfamiliapizza.com,3156339909
415 Thompson Ln,Nashville,36.11988,-86.718505,,Lalibela Ethiopian Cuisine,USD 5 - USD 10,TN,,6153320710
217 W Beloit St,Orfordville,42.635024,-89.2681673,,Villa Pizza (closed),,WI,,6088799929
309 N Lamar Blvd,Oxford,34.36802,-89.51839,,The Pita Pit,,MS,,6622383535
1819 Lake Cook Rd,Northbrook,42.151959,-87.821541,,P.f. Chang's China Bistro,,IL,http://www.pfchangs.com,8.48E+09
6286 N College Ave,Indianapolis,39.869489,-86.146425,,Marco's Pizza,USD 10.00 - USD 15.00,IN,,3172144100
145 Charles St,Boston,42.360313,-71.07081,http://www.yellowpages.com/boston-ma/mip/king-i-7826381/menu,King I,$$,MA,http://www.kingandi-boston.com,6172273320
113 Monroe St,Delta,41.574067,-84.007303,,Pizza Pit,,OH,http://pizzapit.com,4199236880
302 S 38th St,Omaha,41.257512,-95.96932,,Mcforters,,NE,,4023457477
7830 Highway 92,Woodstock,NA,NA,,Sonny's Real Pit Bar-b-q,,GA,,7709267848
26 5th Ave N,Waite Park,45.553367,-94.222893,,Milio's Sandwiches,$,MN,,"[""3202031800""]"
